rank,score,bucket,relevance,id,name,status,asset_type,capacity_mw,duration_hours,energy_gwh,investment_eur_bn,location,developer,planning_reference,technology,counting_rule,source,url,reasons
112,87,Promising,in Ireland,storage-news-8672cd64888b,DCU Researchers Show Hydrogen Storage in Salt Caverns Could Transform Ireland's Renewable Energy Future - Dublin City University | DCU,Watch item,LDES / green hydrogen storage,,,,,Co. Dublin,,,DCU Researchers Show Hydrogen Storage in Salt Caverns Could Transform Ireland's Renewable Energy Future Dublin City University | DCU,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Dublin City University | DCU,https://news.google.com/rss/articles/CBMisAFBVV95cUxOa3kxYkNUa29GMy1xekZDcW11cGtmblNfRFQxTk5oTWJURy1iSFh4Rk82c09xX21HRGl3TXRGamxXU1l3RDNocHptMFlDVGp2UFJiTFpSUi1NcGZqRGdHMXpDaXhEdXZBY3hxSk5fdHF1cTZsazA5THJNWHQ1UjJEODA2UEtDdGxQZHFOenZqRUF3ek1KamQ4bkhfcG1kUFR0VTQ2aDBIeGhYSTQ4OGR4UA?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
113,87,Promising,in Ireland,storage-news-30ed6bd70a70,"The Hydrogen Stream: Ireland’s LCOH on par with Morocco, Brazil - pv magazine Global",Watch item,LDES / green hydrogen storage,,,,,Ireland,,,"The Hydrogen Stream: Ireland’s LCOH on par with Morocco, Brazil pv magazine Global",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,pv magazine Global,https://news.google.com/rss/articles/CBMiogFBVV95cUxQT21nLURZR1RLVWFRN2YwVS1lUkxiTklHSjRTeXFUYkJ1Vms2UWhIZzhBUXJyTkhWV1pRWmZoV0pxN1lnc2pmRTZfWDhkSm9MbkVucm90VVBCZDV2cVJDSWJnZUllaFJTUnRQbEZaMGFmQkMzcGVWT3VBQ1lRNlhfc1FQd0RQWFlEZ1NTcEcxa3huSi1KeUg5TU5rYWF1Q1VzZlE?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
114,87,Promising,in Ireland,storage-news-ab763e445e63,"€2bn plan to store hydrogen in caves under Carlow will cut electricity prices and allow more data centres, say backers - Irish Independent",Watch item,LDES / green hydrogen storage,,,,2.0,Co. Carlow,,,"€2bn plan to store hydrogen in caves under Carlow will cut electricity prices and allow more data centres, say backers Irish Independent",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Irish Independent,https://news.google.com/rss/articles/CBMikgJBVV95cUxNMjUwYnF3TlJaSWpzeFYwZzJ5S3REdEVzaFIxd2Z4TTIzWTVkeXhkMkdDY1AtVlBMcm81WnNxblVVd19rUlRaLVJXcE8xWkJuMmpzY0Y5emhwSHlkd211REJvUmoyY1QzWnhFbW5jNWlHX3ZQNHhodHQ2LUtnZVBzU2xOMENjMXc0anctZ05WUER0eTVjSUtHTkJrY3cySmRpdFhfQm9hTnVDT3o4b0xlRmdVX3hKWUo0eVdMbnNCWFp0ZFpKRTNOc0huLXdkcnhLWWtWajFiUTdndWU0Y3EtVmpaTTQyT1VrajZiTHYza3VDZjcyWkdiREg5Ymhvdl80bERoYXU3djFHNm9TQ19vN1N3?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
115,87,Promising,in Ireland,storage-news-a8a9575e4a6f,Renewables firm NZE to invest €2bn in hydrogen venture - irishtimes.com,Watch item,LDES / green hydrogen storage,,,,2.0,Ireland,,,Renewables firm NZE to invest €2bn in hydrogen venture irishtimes.com,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,irishtimes.com,https://news.google.com/rss/articles/CBMijgFBVV95cUxPektDMmdWWktkdm5LbkdvYmdJTHYyUExjQVpibDJZanB3THl0YjU5eW5fU0JVU19WSHVLb2w4aW42ZjFlV3pRalNDME9OSFZxYTB5dnFneDU3MVg5WFRqMkNSbWdKMm9XdG5Bd3ZnY0dJbFBxSUJ5ODZkcWJIdV9DM3dFM2tscHNIblNENzJR?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
116,87,Promising,in Ireland,storage-news-a9cbb05611e0,Ireland’s Dublin Bay Plant Set for Hydrogen-Capable Upgrades by GE Vernova - fuelcellsworks.com,Watch item,LDES / green hydrogen storage,,,,,Co. Dublin,,,Ireland’s Dublin Bay Plant Set for Hydrogen-Capable Upgrades by GE Vernova fuelcellsworks.com,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,fuelcellsworks.com,https://news.google.com/rss/articles/CBMixgFBVV95cUxOTEJMUlVzTjBqNTdTWXJ2YlRqdm9DM0xTenBCVVhzLXc0SjFpT0NRMldCUmNUa3pBLTRRYUd1Vy0ydWV5d1Q0UExHOFNBOW55d3J2UDJTdmY3MmdQTlZ3aENndDByVVFLYVlZWmQ5YWwxNnhrcjBsemZrZ2UyeEd2VjFmLUlpazY0N0RMaUdSbVlXTHdiMExMdm05YTQ2V3F1Vl8xNUNKUEp0ZnNNRy1aem40eWVzcDQ0STlERlQxU05rUzAxLWc?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
117,87,Promising,in Ireland,storage-news-b0d909a9b952,Dr James Carton features on the Irish Examiner discussing green hydrogen's significance - Dublin City University | DCU,Watch item,LDES / green hydrogen storage,,,,,Co. Dublin,,,Dr James Carton features on the Irish Examiner discussing green hydrogen's significance Dublin City University | DCU,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Dublin City University | DCU,https://news.google.com/rss/articles/CBMisAFBVV95cUxPSnhLdFNacVZiMk5NSVVDUXViUmVNSjhsbm40LWxDVW5HdkpoUnk2R2ZMYU15dXhjMjF0MTJuVVJGdm5XMUU5TlVHZWY0RkxmVl93RlJhWTE0VXhQMW00MERLQy1rZE9WSW9hbl9pTnliZTBMaGRuMHdLWHFOT3FJdEsxbVRCVHJ1cGJRMkhiQzJaY2J3clROZ0Ftb3NaT3YzUW5aZ1kwbDd0S25VVFlHRw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
118,87,Promising,in Ireland,storage-news-228f37e85b9b,ESB makes big plans for offshore green hydrogen storage in Ireland - Silicon Republic,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,ESB makes big plans for offshore green hydrogen storage in Ireland Silicon Republic,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Silicon Republic,https://news.google.com/rss/articles/CBMipAFBVV95cUxOSmdVdDBNZVY4cHJqZm9BckQ2bWctQk1HenZLMU1TVWNCNjFmdzBGWWhEaV91MzVVX2pVaFExeVplUXloOFcweGdycTd4UHR4aVZzaVBoZlBSNDBoX0tFWEZxWnJsanJfdzlzRW8xOW5ORHd3SkF4el9iN010S25sWFh4TlBrRFlGS1pUOGstWFdjYThUc1RUNFJKT1cxVkhTMWI5ag?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
119,87,Promising,in Ireland,storage-news-1d8f0ea99577,Ireland Launches Call for Evidence on Underground Hydrogen Storage Development - fuelcellsworks.com,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Ireland Launches Call for Evidence on Underground Hydrogen Storage Development fuelcellsworks.com,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,fuelcellsworks.com,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQWEhKLTBvT0hoUVc2Um5wTVVHbUNrZDJDSGZlOGc5dXg2U3JiY3h2bzhXd1JYbEdWaEpSN25pVThHVW44X2hmTG5tU3hiNVhtaDJBazVWZWpQNHRtZmdNeWdnbXZKdFBCRkR3a3UyMlIzNmJESlU1X0N3WTdVcTZUbElveUxxSDFQTDhYY2ptcnVaLXE5eDRPdWY1eWNobG5nY2lhMmFKcVR4TEhqcmpRaDBKR042TTFZZm40X2gtQnA0ZFlpTnJ4eg?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
120,87,Promising,in Ireland,storage-news-02791d55ff4c,Irish firm NZE proposes 600-MW hydrogen-based storage project - Renewables Now,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Irish firm NZE proposes 600-MW hydrogen-based storage project Renewables Now,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Renewables Now,https://news.google.com/rss/articles/CBMiowFBVV95cUxNcUVNQlJ0MzA2bWNQcG9qekk3OThYQjBURGlnallLbVZibVk0b3ZWc0h2MmRrMThFRHpteDFzNjhSWDF0MnBLREl3WTY3U19Wd05DdFl3Q18xSGw3WG9obU5NSWhvNEdycjdmdXdTU2twUms3ZGFYb1V2RkNia19yTVpmNTJ5aFAyaWdrNFZEQWU3MjRaX3Rmd3JZcW52QjFtVXk4?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
121,87,Promising,in Ireland,storage-news-59366ad09d51,Bord Gáis Energy joins project to explore green hydrogen storage in Ireland - Solar Power Portal,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Bord Gáis Energy joins project to explore green hydrogen storage in Ireland Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMiwwFBVV95cUxObTk4ZFBmWV8wWmVhdEhnWWtNZE5VV24xaXNrSTR1UVFNTDZCbGtJTGNvakpIb05IeThhcFRfZjREZTNGU280MDlhRTRHSUc3aFQ0OG9yQ1hVM2R0TGk0RXBXb2VmLTdFREVKd0Q2bmQ0RXBKTDRMUm1FaTFVQUxlYm01eXFUaGZFOFVHYUVSYWdPZDNLNm5DNG41VXI2UTJSY0Racmd4elowb09BSkZmanhlVkJxR0hOZU9XZWpOVGwzNnM?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
122,87,Promising,in Ireland,storage-news-7e5f2119e241,Bord Gáis Energy joins ESB and dCarbonX on green hydrogen storage project - Offshore-Energy.biz,Watch item,LDES / green hydrogen storage,,,,,,,,Bord Gáis Energy joins ESB and dCarbonX on green hydrogen storage project Offshore-Energy.biz,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Offshore-Energy.biz,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQWUNBY1Y2b1lscmNUN0V3ZlVxdGYxbzBhUUVYUzI5bFVBNEQ5OFJtM3BNeHhnYmxRcC1PeWVWTlZMSVhobVpnQ1JfVjBhNWgwa1BoZjZKWXpwb2s2WVZVcXBoY19OQ3dxcTU4Wk4zY2xSaXZ4bG5TSDVoNllTR05nQTZNYlNWYXJfUC1ENEtkUUV0LWRtSHBjYVA2YUo5Y1ZuYi11UDJ2Z1hwUQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
123,87,Promising,in Ireland,storage-news-6624cc369158,ESB and dCarbonX explore green hydrogen storage sites off Irish coast - Energy-Storage.News,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,ESB and dCarbonX explore green hydrogen storage sites off Irish coast Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMipwFBVV95cUxNTjdLZTF0X3hfTW5mZ2ZwZEpFeDFqT1JEYUhfcTJFSWh1VGRKRHVEeUpaY2QzSEYwY1hLZnVnb1pGa05sZHNDSDRLTHJSYUJtOVJCMldrTkRsT0ZhY3dXeG8zWkJfSTU2bTF2N095Y05DVUREaHNid3g4VGZRd3h6UTFBSmVsSkJGa0k5Q0g1MWFLdWFFOEN6NUFDaDR6OXhJencxenFwSQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
124,87,Promising,in Ireland,storage-news-9ed466b552bb,Ireland and Germany Investigate Cross-Border Hydrogen Energy Agreement - afloat.ie,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Ireland and Germany Investigate Cross-Border Hydrogen Energy Agreement afloat.ie,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,afloat.ie,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPV0xnVkI0NE9BWU85QmtjcHNTM1Y4N1BBMDNUc3VvdFlMTjlRbG9mVXVJTXBnYkR1TV81a3RvWTI5UmhYd0l0UkRMOE5DbENMT1RTYWxDdlpNQktzSllidUNsYWZUYnZERzJRWk1NUlAtREVZWXBSZkNlZGRxZWNSS3FmRnRsRV93Mk1PdHpCMkRpcm9UUjR2TUN3WFliZmxHSGFtZnFqZ0FWSHo1ZVItYlB6T09qMjdwQzhyMEZ5anM1M0xXVUlwOExyZDNzck5tdlZJ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
125,87,Promising,in Ireland,storage-news-9d694aa1d04e,"ESB and Hynamics UK Sign Agreement to Develop Green Hydrogen Project at Port of Barry, Wales - afloat.ie",Watch item,LDES / green hydrogen storage,,,,,,,,"ESB and Hynamics UK Sign Agreement to Develop Green Hydrogen Project at Port of Barry, Wales afloat.ie",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,afloat.ie,https://news.google.com/rss/articles/CBMigAJBVV95cUxPZ0FDVGl5LWNzS2JULWhLNGFjbnlfQU14NzM2YmF4a3A5SnVRQjE0SEZqY2xGejRTZ1ZEaE81VXFVaWIwZ3g1cGN5c2xmR09LVklkQjhuVk4tWDhGeXk1eTVOQU1VUHVJMUpFVndvcVZrQ0c5UTIzaGNhUFRaMjdwOW1BbUZOVHRpQ0V0anVpMk5LSHIyd2RiRjI4RWo3TWRpcXNlQlY1dTNNd2xIc203d2dRVDVqVGhvcEJKLVdzODQyQ2Nqb0VPQWJUaThBSjVZTUljWnItdUtJQTlqRmZCeVVvOGstLTNIYVVNMmk3SkNOY3VvTXVuQjlCUUlzNzFC?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
126,87,Promising,in Ireland,storage-news-10ec84e94544,Major Green Hydrogen Plant Revealed for West of Ireland - Industrial Info Resources,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Major Green Hydrogen Plant Revealed for West of Ireland Industrial Info Resources,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Industrial Info Resources,https://news.google.com/rss/articles/CBMixAFBVV95cUxNeGtXN1FaNzhMUml6M2xiWnZsWjJSOV9idmxnbjZBc3NOMkJjUWZyc053Zm93RURoc0pBQlVlcFlZalNtWVZEQjJpZTRwSzJRWGJ3M1lqdHlrZ2ctZGE2LWFUVGxhNmhGbGwtZGxjVkdoQ3JYN2k1M3ZqSEZIMml5R3BuNU1xNEtRcmpjdlM3cHlSMVpuMFRiN2MyZ3h4UGxnd2R1bGhQT2ROZVV1WDI2ejM4VjNqVGY4WUZwUm9Cd2RTVkNH?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
127,87,Promising,in Ireland,storage-news-3c40ecb62ca5,Why pumped hydroelectric energy storage is a perfect fit for Ireland’s path to zero emissions electricity generation - Engineers Ireland,Watch item,Pumped hydro storage,,,,,Ireland,,,Why pumped hydroelectric energy storage is a perfect fit for Ireland’s path to zero emissions electricity generation Engineers Ireland,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Engineers Ireland,https://news.google.com/rss/articles/CBMihwJBVV95cUxPWFdlVXhSa2ZpcFNYWEJPSzBfUmVKdGlEVlRvMUh1WGIxTnZET0VWdURYRnc4aWtfcjZCSFRNclJ1VHBlZER2dzBpQmRsblE0YWRyY091V3RVeGZmSlZFeEtNdUFvdlZmTGtrNmlqLVNPZ1c5TXRuR21IbGxfTS1feFJZZEwwb25QTElzeXJtUGlOSG8xanBoUVpKS2xSNXpJeU1RcXphRzA3cVJoWHpURnpmeTBYQjh0cWtlbExqMWtEMDhRWHpoRktxUnJwN01aUXJRMm4wMmtDbFdudzNzSnRVc252aWdMWHpMVEM0X3p5cXFwZ1dDS0UxZ0FnQVZYVXhMRFZmTQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
128,87,Promising,in Ireland,storage-news-84c796dc2a48,Contracts for electricity interconnector to be signed shortly in significant step for project - Irish Examiner,Watch item,Grid flexibility / interconnector,,,,,Ireland,,,Contracts for electricity interconnector to be signed shortly in significant step for project Irish Examiner,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Irish Examiner,https://news.google.com/rss/articles/CBMibkFVX3lxTE9iWHdEbXRweE9hazlJejduaWxqRktRZnZZRWQ2cy04ZHdUX1RvQWw4RzRlNjBzQml1UEkydk5VN2I4bGgxZm01Z2JXanl3UklxSzgwdE41R2hOY014OUg3QXUtNkZqd1dqWWNlQ2ln?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
129,87,Promising,in Ireland,storage-news-9f1d0bf68277,Troubled electrolyser maker CPH2 eyes sale of manufacturing rights to Irish developer - Hydrogen Insight,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Troubled electrolyser maker CPH2 eyes sale of manufacturing rights to Irish developer Hydrogen Insight,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Hydrogen Insight,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNRURSc0VlVUR5QUtEdmgxTTItdXo5VUV3X0RxdFN5OExaemVyREZpeW43dmJaT1llbnNUd2lwMjFEUm1nYlI5SllzaUcyV2g2MEN6Z2RXV0szWnEzMFlxYU9ldlNzcnQtNmFMcW01aWxNaDNqdklva3EtTDFEaGJXNkU4cXZ3VFBaMElJT0liNTlkbFYzREJNdzFTQUVkVV9CdE9SYzk1T1E0ak5JcWlEdFRFM0llcU5ObmtWRWdjSmJqM3FZMzBKLU5PMGRTTVFPcnpYYjFYMmo5ZVk?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
130,87,Promising,in Ireland,storage-news-52a3bf7ab3e9,Storage key to Ireland's energy security and transition - RTE.ie,Watch item,Storage / grid flexibility,,,,,Ireland,,,Storage key to Ireland's energy security and transition RTE.ie,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,RTE.ie,https://news.google.com/rss/articles/CBMipwFBVV95cUxNV1cxc2JTZnZQbjZGSTFyaXlpYTVwMnJhUU83a3dFNExOQXhOZXU4ZGJXMGdwZHlQbklZTzlka2x0SUVvWE12RS1jVWxwaUFGeFA0c2VlMWJfU19TbnFPZmluUVBhRk85eWNCNHZWTDVzVEFOa1NFV1B0RVhvUENNc3JYTjJtekJEcENKQUd1dnpJR1VyQXo4XzNHMXRydkN4MHd3Mmpsbw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
131,87,Promising,in Ireland,storage-news-20db35f6e051,Ireland could produce cheapest green hydrogen in Europe by 2030 - Aurora Energy Research,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Ireland could produce cheapest green hydrogen in Europe by 2030 Aurora Energy Research,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Aurora Energy Research,https://news.google.com/rss/articles/CBMipgFBVV95cUxQMU4yWTVyWE9uM0N0S3JvRGd3cGFBRnVlNF9VN00tTVBZb3NVZEk5NzJGaGpjSWJWME45WWlFbXdHTEhOWHB3M0JFbG1CQmU3OFNVbHpvN0NSSHhJc2pfRHFRZzVMcEhpTVAzV2loS2JVeTFyRnIxbmRZSHk2Zm1JLTNpdmhDeTNqdHhRQjNVaGEyVFNSY2Fma181NHFZamh3MmRLVnBR?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
132,87,Promising,in Ireland,storage-news-5f070ffd0b79,ESB to upgrade Dublin Bay power plant turbines to be hydrogen ready - Quantum Commodity Intelligence,Watch item,LDES / green hydrogen storage,,,,,Co. Dublin,,,ESB to upgrade Dublin Bay power plant turbines to be hydrogen ready Quantum Commodity Intelligence,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Quantum Commodity Intelligence,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPR3YxVkNMRnZ5cFdhdHdoUmVDZnNNaFhlbnVCUmdudmZvQ2szNkFsVDVQM3pkc1Vic3ExeWZqQlFkenl6X2VtSVdEMk1pNmUzNFpJOVVySThKbmlnTU5LaHQ5YzNSbEFITmZNdEgtVklqYnZaRktJUEY2NzJlR3FHV2F2SjFENGMzbG1fVUlEcjQ2cnVoX2MwcXZQSkpleDVQaXJfUHF5WHVidVZubnF4S3pkRWNRN2J2aDJZ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
133,87,Promising,in Ireland,storage-news-488deade9b76,ESB and dCarbonX unveil green hydrogen storage project off Ireland - Splash247,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,ESB and dCarbonX unveil green hydrogen storage project off Ireland Splash247,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Splash247,https://news.google.com/rss/articles/CBMikwFBVV95cUxOc0p4MXA0dDlrQ0NTSGR5ZDdWanNUdDBvVEZ0WHRZQkwzeUo2TUMtME1FVDk4dVdCXzNxWTlBcDdYWUU4ams2clRwRW5VM0ZWdU9RZm5melpSdmJsRDI5enM3bWM4QXhkc1VLT19pLXZVUHVXTEJYX0xTQV9YNmN4b2V3aWduaXk0VGYxN3V3RDcwclE?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
134,87,Promising,in Ireland,storage-news-4c33d8c6fc08,Northern Ireland can be a global leader in hydrogen energy – Dodds - Department for the Economy,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Northern Ireland can be a global leader in hydrogen energy – Dodds Department for the Economy,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Department for the Economy,https://news.google.com/rss/articles/CBMimgFBVV95cUxPNXhkN1ZyNE5hT0ZnYzJXdnBlbWI0c2RVclN4WHkxZFN6MTVibmdEQmE1OC1vWktadTM2UTNaRkd6NnNnSGY2ZE54Qnp2VHZRd0Nxbmk3NkJuWW5rblFJQUN5ek9UVHRGeVNla3dvRkdUNFZWT3cxOEhRNm9iSXVtQm5KWkplMTVINkpvUVZzY0dhUjl3Qk5seHNB?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
135,87,Promising,in Ireland,storage-news-06c6fee7bdfd,Ireland’s great grid stabilizer - Siemens Energy,Watch item,Storage / grid flexibility,,,,,Ireland,,,Ireland’s great grid stabilizer Siemens Energy,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Siemens Energy,https://news.google.com/rss/articles/CBMikwFBVV95cUxOSWhvSUpPYy1kbjNfbmNYcnhZZmd1VjUxTF93dUQ5eTZuaHpVUGtmY3FLdW1RZGw3YTlIZzFrcHpVTEh0dlBkVGt1aXNZNlBRS29TZ01fQTcyVTVLT201M3JNNHRuSkg4QkY3NG1PYUhGTWhqS0tSaUFGb2RzNVA5NTM5ZmxXSVlTUFJQZWQyajdPWDg?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
136,87,Promising,in Ireland,storage-news-3f361d62fa52,Enterprize plans 4GW offshore wind farm off Ireland to power 3.2GW green hydrogen project - Recharge News,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Enterprize plans 4GW offshore wind farm off Ireland to power 3.2GW green hydrogen project Recharge News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Recharge News,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQdi1vSVFOZzYyblRFQl95OERORkc3WDFTTXBQRF9lazdlOFQxZkhWTGllZkRoRjA3VmtFVl94ZmRmbER2dDNHLWdER1dWNlRPRzBRZlkzUVRPRlpCUEUwTHhDRzQzTjFqYjZ5dXhmbHhPWlJtRUxRRWptei02RUZLM2dPbHdfSXZxQkhnTHUwbDc5VVBPMjgwUzZCUXVXNUFjNWFsY0VjSjZELUpVcldzc21Nb2VNOFdQV2lDU3FVMTJDRXAySHp6aEFtc2xUVFJqWUdhdFlpcy1BYnRmZ1BNdVhR?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
137,87,Promising,in Ireland,storage-news-20fa0ec1922a,Renewables generate 47% of Northern Ireland’s annual electricity - Solar Power Portal,Watch item,Storage / grid flexibility,,,,,Ireland,,,Renewables generate 47% of Northern Ireland’s annual electricity Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMiswFBVV95cUxPX3hJUVhHQWYteXpZRWNhVmlKQzRheXlka2V2VzVLSFRyTEIxdGk5YzVZVFpTZ1RCWVp3Vk5JYkRES3MxWGxHY20yNGVtUzlxcFVtQXphSzRLZDY5cElMVTBrWVFISXM4VlNpUzM3OUROY0VoY192RGZiNnpTdjFNcVR2YXRWdmthdW41bHRXWFVnVjZfOVRBU1BFM0YwaVFzTGlSWW5icGxOOURfX2Z2VzNaSQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
138,87,Promising,in Ireland,storage-news-fc7dda9b1645,Study finds salt cavern hydrogen storage feasible in Northern Ireland - Power Technology,Watch item,LDES / green hydrogen storage,,,,,Ireland,,,Study finds salt cavern hydrogen storage feasible in Northern Ireland Power Technology,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Power Technology,https://news.google.com/rss/articles/CBMinAFBVV95cUxOYUYzemNEZVVpcHJ3MURZRUQtbFdyWWlUbnRtZG5JRG90NDhiNW8xSnhPaE5qMFp4ajV3b3ZVcmwxaUNGaF9TbWRuZVV2ZTBrODZPVmZOOFZidUdsUnJQY0NOdlFyVEJiYjhtc2V3b04tVVdYV2tPNWZpMXN5NGRaU2h0R2gwQTFDMEJqTjgzZnJtOFQ3LU9ib3pULUI?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
139,87,Promising,in Ireland,storage-news-74aca03c4b87,ION Renewables Signs Exclusivity Agreement to Bring Mitsubishi Power’s Emerald Storage Solutions to Ireland - Mitsubishi Power,Watch item,Storage / grid flexibility,,,,,Ireland,,,ION Renewables Signs Exclusivity Agreement to Bring Mitsubishi Power’s Emerald Storage Solutions to Ireland Mitsubishi Power,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Mitsubishi Power,https://news.google.com/rss/articles/CBMiY0FVX3lxTE1haEk3V2lqWUNlaTFDcmNXMlZUQzQyR0cwNC1sSWFxbU5mbERfZ2JyRnFTR2R1WVViMTkwSlNmQ0x0dWkyRmp5aS1yZmZidFhhaEhMaEFKclFHb1NDVlo3ZlJfSQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
140,87,Promising,in Ireland,storage-news-3452cadc93cc,News Content Hub - Northern Ireland gas storage project receives green light - rivieramm.com,Watch item,Storage / grid flexibility,,,,,Ireland,,,News Content Hub - Northern Ireland gas storage project receives green light rivieramm.com,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,rivieramm.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQNW9oVDZYUzRiRUpQSnJ4c3hrNnBnTm9TMEVNekNJaUk5LUgyMkRaYjRZWnRwdDBMclpfY1pBbmRyNjh5NHhHWWJ6aGhWQWlFeTRRbnY1UzJDLVBVN2VZWU9iTXh1Zmg0YTgwTXUybl84amhLQnVmS2o4QmdMWTlXUndLMWZfajY0NnlRVUhmdHBBdnJKRi10VGRqdTF4SVYxVnlVYTY0Z3BMZnl5bDZsV3ROU2M5T2lrZmo4RDVpOTE?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; planning; counting rule present
